Institutions,Latitude,Longitude,Location,Email,Website,Abschnitte,Abteilungen,Gruppen,Klassen,Unterklassen,Schlüssel
Kath. Altenpflegeheime Breitenworbis,51.4122567970368,10.4298098303849,Breitenworbis,info@altenpflegeheim-breitenworbis.de,https://www.altenpflegeheim-breitenworbis.com/,R,87.0,3.0,0.0,1.0,87.30.1
PflegeCentrum Sonnenschein GmbH,50.96334632884,10.0649064372003,Gerstungen,info@pflegesonnenschein.de,https://pflegesonnenschein.de/,R,86.0,9.0,4.0,1.0,86.94.1
Pflegedienst Anita Lüneberg GmbH,50.8871536412349,11.6132747371053,Jena,info@pflege-lueneberg.de,https://www.pflege-lueneberg.de/,R,86.0,9.0,4.0,1.0,86.94.1
PFLEGESEGEN Pflegevermittlung,51.0818678686557,11.211935668038,Am Ettersberg,info@pflegesegen.de,https://pflegesegen.de/,O,82.0,9.0,9.0,9.0,82.99.9
LaVitaCura Pflegedienst GmbH,51.2097764295581,10.4630868951088,Mühlhausen,pflege@lavitacura.de,https://www.lavitacura.com/,R,86.0,9.0,4.0,1.0,86.94.1
HK Pflegedienst gemeinnützige GmbH,50.9131971453674,10.9127246217931,Nesse-Apfelstädt,info@hk-pflegedienst.de ,https://hk-pflegedienst.de/,R,86.0,9.0,4.0,1.0,86.94.1
Pflegestützpunkt Jena,50.9283030842189,11.5821113678454,Jena,kontakt@pflegestuetzpunkt-jena.de,https://www.pflegestuetzpunkt-jena.de/,R,88.0,9.0,9.0,3.0,88.99.3
Häusliche Krankenpflege Blech,50.9117478471822,11.5710406831694,Jena,Contact through website,https://www.seniorenhaus-jena.de/#,R,86.0,9.0,4.0,1.0,86.94.1
Diakonisches Altenhilfezentrum Saalfeld-Rudolstadt gGmbH,50.7155496972406,11.3168923706929,Rudolstadt,Contact through website,https://www.diakonie-in-rudolstadt.de/kontakt-anfahrt,R,86.0,NA,NA,NA,NA
soweno Altenhilfe gGmbH,51.4960478632223,10.7955360452804,Nordhausen,info@soweno.de,https://soweno.de/,R,87.0,3.0,0.0,1.0,87.30.1
Saale-Betreuungswerk der Lebenshilfe Jena gGmbH,50.9601347513335,11.6267249789309,Jena,info@sbw-jena.de,https://sbw-jena.info/,R,88.0,1.0,0.0,4.0,88.10.4
Südthüringer Betreuungsverein e.V.,50.4254929031343,10.73160655155,Hildburghausen,info@sthbv-hbn.com,https://sthbv-hbn.com/,R,88.0,9.0,9.0,3.0,88.99.3
AGETHUR – Landesvereinigung für Gesundheitsförderung Thüringen e.V.,50.9888155611961,11.3262266832656,Weimar,info@agethur.de,https://agethur.de/,R,88.0,9.0,9.0,3.0,88.99.3
MVZ Gesundheitszentrum Schmalkalden GmbH,50.7223914651982,10.4413442294881,Schmalkalden,info@gz-sm.de,https://www.gz-sm.de/,R,86.0,2.0,1.0,0.0,86.21.0
Gesundheitszentrum Weimar GmbH Medizinische Versorgungszentren,50.9623554891717,11.3198976604765,Weimar,info@mvz-weimar.de,https://www.mvz-weimar.de/,R,86.0,2.0,1.0,0.0,86.21.0
Grone-Gesundheitsakademie-Thüringen-gGmbH,50.9935778886565,11.3375840832717,Weimar,gesundheitsakademie@grone.de,https://www.gesundheitsakademie-thueringen.de/,Q,85.0,5.0,9.0,2.0,85.59.2
AWO Soziale Dienste gGmbH Gotha,50.9456379520993,10.7156085205215,Gotha,geschaeftsstelle@awo-gotha.de,https://www.awo-gotha.de/startseite,R,88.0,NA,NA,NA,NA
AWO Soziale Dienste Rudolstadt gGmbH,50.7203303954801,11.3324369992702,Rudolstadt,Contact through website,https://www.awo-rudolstadt.de/willkommen,R,88.0,NA,NA,NA,NA
bpa · Bundesverband privater Anbieter sozialer Dienste e.V. · Landesgruppe Thüringen,50.9491799238302,11.0859900771568,Erfurt,thueringen@bpa.de,https://www.bpa.de/news-landesgruppen/thueringen,T,94.0,9.0,9.0,9.0,94.99.9
Diakonie Sozialdienst Thüringen,50.9758514470419,11.3256573339687,Weimar,S.Wieduwilt-Erthel@diakonie-wl.de,https://www.diakonie-wl.de/ueber-uns/tochtergesellschaften/diakonie-sozialdienst-thueringen-ggmbh/,R,88.0,1.0,0.0,1.0,88.10.1
Diakonie-Sozialstation Ilmenau,50.6818913412395,10.9113094061606,Ilmenau,pflege@dsst-ilmenau.de,https://www.diakonie-sozialstation-ilmenau.de/,R,86.0,9.0,NA,NA,NA
Institut für Berufsbildung und Sozialmanagement gGmbH,50.9851707078515,11.0300688218831,Erfurt,info@ibs-thueringen.de,https://ibs-thueringen.de/,Q,85.0,5.0,9.0,2.0,85.59.2
parisat – Gesellschaft für Paritätische Soziale Arbeit in Thüringen mbH,50.9175091945266,10.9133556752437,Neudietendorf,kontakt@parisat.de,https://www.parisat.de/,Q,85.0,5.0,9.0,2.0,85.59.2
Diakonie Sozialstation St. Elisabeth,51.1109511898549,10.9277844053159,Gebesee,verwaltungsleitung@diakonie-gebesee.de,https://www.diakonie-gebesee.de/,R,87.0,NA,NA,NA,NA
Arbeiterwohlfahrt Landesverband Thüringen e.V.,50.9842858649783,11.0305198037539,Erfurt,Contact through website,https://awothueringen.de/startseite,R,88.0,NA,NA,NA,NA
Caritasverband für das Bistum Erfurt e.V.,50.9726841627674,11.0213376060013,Erfurt,dicv-erfurt@caritas-bistum-erfurt.de,https://www.caritas-bistum-erfurt.de/startseite/startseite,R,88.0,9.0,9.0,3.0,88.99.3
Deutsches Rotes Kreuz Landesverband Thüringen e.V.,50.9615224198576,11.033000313399,Erfurt,info@drk-thueringen.de,https://www.drk-thueringen.de/,R,86.0,9.0,2.0,0.0,86.92.0
DGB Hessen-Thüringen,50.9684192651766,11.0306070753075,Erfurt,Contact through website,https://thueringen.dgb.de/,T,94.0,2.0,0.0,0.0,94.20.0
MigraNetz Thüringen e. V.,50.9795070408283,11.3283137139431,Weimar,kontakt@migranetz-thueringen.org,https://migranetz-thueringen.org/de/kontakt/,T,94.0,9.0,9.0,9.0,94.99.9
DaMigra e.V.,50.9817748760091,11.0417958783989,Erfurt,erfurt@damigra.de,https://www.damigra.de/kontakt/,T,94.0,9.0,9.0,9.0,94.99.9
LIGA der Freien Wohlfahrtspflege in Thüringen,50.9612241751718,11.0338398139201,Erfurt,info@liga-thueringen.de,https://liga-thueringen.de/liga-aktuell,R,88.0,9.0,9.0,9.0,88.99.9
Universitätsklinikum Jena,50.8857212750758,11.6216779183936,Jena,info@med.uni-jena.de,https://www.uniklinikum-jena.de/,R,86.0,1.0,0.0,2.0,86.10.2
Diako Thüringen gem. GmbH,51.143701314137,10.3414779313988,Eisenach,info@diako-thueringen.de,https://www.diako-thueringen.de/,R,87.0,NA,NA,NA,NA
workconcept service GmbH Arbeitnehmerüberlassung,50.8182101192794,10.2376588782865,Bad Salzungen,zentrale@workconcept-service.de,https://www.workconcept-service.de/,O,78.0,1.0,0.0,0.0,78.10.0
Pflegebienen Mittelthüringen GmbH,50.9767058376078,11.0204542758391,Erfurt,info-suedost@aiutanda.de,https://aiutanda-suedost.de/,R,86.0,9.0,4.0,1.0,86.94.1
Linimed GmbH,50.883432022129,11.5990087933177,Jena,info@linimed.de,https://www.linimed.de/,R,88.0,1.0,0.0,1.0,88.10.1
AWO AJS gGmbH,51.0065306389987,11.0321821734066,Erfurt,AJSgGmbH@awo-thueringen.de,https://www.awo-ajs-thueringen.de/start,R,88.0,NA,NA,NA,NA
Henneberg-Klinik Hildburghausen GmbH,50.4295893070381,10.7290179211913,Hildburghausen,info@henneberg-kliniken.de,https://www.henneberg-kliniken.de/henneberg-klinik-hildburghausen/,R,86.0,1.0,0.0,1.0,86.10.1
SRH Waldklinikum Gera GmbH,50.8693597567018,12.0525439058723,Gera,info.wkg@srh.de,https://www.waldklinikumgera.de/,R,86.0,1.0,0.0,1.0,86.10.1
