geo,geo_label,sex,sex_label,age,age_label,time,value
AT,Austria,F,Females,TOTAL,Total,2021,0
AT,Austria,F,Females,TOTAL,Total,2022,0
AT,Austria,F,Females,TOTAL,Total,2023,0
AT,Austria,F,Females,TOTAL,Total,2024,0
AT,Austria,F,Females,TOTAL,Total,2025,0
BE,Belgium,F,Females,TOTAL,Total,2021,415
BE,Belgium,F,Females,TOTAL,Total,2022,35
BE,Belgium,F,Females,TOTAL,Total,2023,150
BE,Belgium,F,Females,TOTAL,Total,2024,215
BE,Belgium,F,Females,TOTAL,Total,2025,30
BG,Bulgaria,F,Females,TOTAL,Total,2021,0
BG,Bulgaria,F,Females,TOTAL,Total,2022,0
BG,Bulgaria,F,Females,TOTAL,Total,2023,5
BG,Bulgaria,F,Females,TOTAL,Total,2024,5
BG,Bulgaria,F,Females,TOTAL,Total,2025,5
CH,Switzerland,F,Females,TOTAL,Total,2021,520
CH,Switzerland,F,Females,TOTAL,Total,2022,300
CH,Switzerland,F,Females,TOTAL,Total,2023,200
CH,Switzerland,F,Females,TOTAL,Total,2024,0
CH,Switzerland,F,Females,TOTAL,Total,2025,20
CY,Cyprus,F,Females,TOTAL,Total,2021,0
CY,Cyprus,F,Females,TOTAL,Total,2022,0
CY,Cyprus,F,Females,TOTAL,Total,2023,0
CY,Cyprus,F,Females,TOTAL,Total,2024,0
CY,Cyprus,F,Females,TOTAL,Total,2025,0
CZ,Czechia,F,Females,TOTAL,Total,2021,0
CZ,Czechia,F,Females,TOTAL,Total,2022,0
CZ,Czechia,F,Females,TOTAL,Total,2023,0
CZ,Czechia,F,Females,TOTAL,Total,2024,0
CZ,Czechia,F,Females,TOTAL,Total,2025,0
DE,Germany,F,Females,TOTAL,Total,2021,2745
DE,Germany,F,Females,TOTAL,Total,2022,2335
DE,Germany,F,Females,TOTAL,Total,2023,2420
DE,Germany,F,Females,TOTAL,Total,2024,2895
DE,Germany,F,Females,TOTAL,Total,2025,1180
DK,Denmark,F,Females,TOTAL,Total,2021,40
DK,Denmark,F,Females,TOTAL,Total,2022,100
DK,Denmark,F,Females,TOTAL,Total,2023,105
DK,Denmark,F,Females,TOTAL,Total,2024,25
DK,Denmark,F,Females,TOTAL,Total,2025,245
EE,Estonia,F,Females,TOTAL,Total,2021,0
EE,Estonia,F,Females,TOTAL,Total,2022,0
EE,Estonia,F,Females,TOTAL,Total,2023,0
EE,Estonia,F,Females,TOTAL,Total,2024,0
EE,Estonia,F,Females,TOTAL,Total,2025,0
EL,Greece,F,Females,TOTAL,Total,2021,0
EL,Greece,F,Females,TOTAL,Total,2022,0
EL,Greece,F,Females,TOTAL,Total,2023,0
EL,Greece,F,Females,TOTAL,Total,2024,0
EL,Greece,F,Females,TOTAL,Total,2025,0
ES,Spain,F,Females,TOTAL,Total,2021,240
ES,Spain,F,Females,TOTAL,Total,2022,505
ES,Spain,F,Females,TOTAL,Total,2023,515
ES,Spain,F,Females,TOTAL,Total,2024,340
ES,Spain,F,Females,TOTAL,Total,2025,395
EU27_2020,European Union - 27 countries (from 2020),F,Females,TOTAL,Total,2021,11075
EU27_2020,European Union - 27 countries (from 2020),F,Females,TOTAL,Total,2022,9015
EU27_2020,European Union - 27 countries (from 2020),F,Females,TOTAL,Total,2023,7045
EU27_2020,European Union - 27 countries (from 2020),F,Females,TOTAL,Total,2024,7125
EU27_2020,European Union - 27 countries (from 2020),F,Females,TOTAL,Total,2025,5570
FI,Finland,F,Females,TOTAL,Total,2021,405
FI,Finland,F,Females,TOTAL,Total,2022,490
FI,Finland,F,Females,TOTAL,Total,2023,735
FI,Finland,F,Females,TOTAL,Total,2024,405
FI,Finland,F,Females,TOTAL,Total,2025,370
FR,France,F,Females,TOTAL,Total,2021,925
FR,France,F,Females,TOTAL,Total,2022,1550
FR,France,F,Females,TOTAL,Total,2023,1425
FR,France,F,Females,TOTAL,Total,2024,1270
FR,France,F,Females,TOTAL,Total,2025,1680
HR,Croatia,F,Females,TOTAL,Total,2021,0
HR,Croatia,F,Females,TOTAL,Total,2022,0
HR,Croatia,F,Females,TOTAL,Total,2023,0
HR,Croatia,F,Females,TOTAL,Total,2024,0
HR,Croatia,F,Females,TOTAL,Total,2025,0
HU,Hungary,F,Females,TOTAL,Total,2021,0
HU,Hungary,F,Females,TOTAL,Total,2022,0
HU,Hungary,F,Females,TOTAL,Total,2023,0
HU,Hungary,F,Females,TOTAL,Total,2024,0
HU,Hungary,F,Females,TOTAL,Total,2025,0
IE,Ireland,F,Females,TOTAL,Total,2021,220
IE,Ireland,F,Females,TOTAL,Total,2022,175
IE,Ireland,F,Females,TOTAL,Total,2023,60
