geo,geo_label,time,value
AT,Austria,2021,0
AT,Austria,2022,0
AT,Austria,2023,0
AT,Austria,2024,0
AT,Austria,2025,0
BE,Belgium,2021,950
BE,Belgium,2022,80
BE,Belgium,2023,285
BE,Belgium,2024,485
BE,Belgium,2025,45
BG,Bulgaria,2021,0
BG,Bulgaria,2022,0
BG,Bulgaria,2023,10
BG,Bulgaria,2024,10
BG,Bulgaria,2025,15
CH,Switzerland,2021,1050
CH,Switzerland,2022,610
CH,Switzerland,2023,375
CH,Switzerland,2024,0
CH,Switzerland,2025,50
CY,Cyprus,2021,0
CY,Cyprus,2022,0
CY,Cyprus,2023,0
CY,Cyprus,2024,0
CY,Cyprus,2025,0
CZ,Czechia,2021,0
CZ,Czechia,2022,0
CZ,Czechia,2023,0
CZ,Czechia,2024,0
CZ,Czechia,2025,0
DE,Germany,2021,5395
DE,Germany,2022,4775
DE,Germany,2023,4975
DE,Germany,2024,5720
DE,Germany,2025,2230
DK,Denmark,2021,55
DK,Denmark,2022,150
DK,Denmark,2023,150
DK,Denmark,2024,40
DK,Denmark,2025,360
EE,Estonia,2021,0
EE,Estonia,2022,0
EE,Estonia,2023,0
EE,Estonia,2024,0
EE,Estonia,2025,0
EL,Greece,2021,0
EL,Greece,2022,0
EL,Greece,2023,0
EL,Greece,2024,0
EL,Greece,2025,0
ES,Spain,2021,520
ES,Spain,2022,1110
ES,Spain,2023,1110
ES,Spain,2024,740
ES,Spain,2025,860
EU27_2020,European Union - 27 countries (from 2020),2021,23770
EU27_2020,European Union - 27 countries (from 2020),2022,18800
EU27_2020,European Union - 27 countries (from 2020),2023,14085
EU27_2020,European Union - 27 countries (from 2020),2024,13790
EU27_2020,European Union - 27 countries (from 2020),2025,10220
FI,Finland,2021,890
FI,Finland,2022,1100
FI,Finland,2023,1330
FI,Finland,2024,810
FI,Finland,2025,620
FR,France,2021,1935
FR,France,2022,3200
FR,France,2023,2900
FR,France,2024,2370
FR,France,2025,3055
HR,Croatia,2021,0
HR,Croatia,2022,0
HR,Croatia,2023,0
HR,Croatia,2024,0
HR,Croatia,2025,0
HU,Hungary,2021,0
HU,Hungary,2022,0
HU,Hungary,2023,0
HU,Hungary,2024,0
HU,Hungary,2025,0
IE,Ireland,2021,470
IE,Ireland,2022,365
IE,Ireland,2023,130
IE,Ireland,2024,200
IE,Ireland,2025,290
IS,Iceland,2021,35
IS,Iceland,2022,0
IS,Iceland,2023,20
IS,Iceland,2024,5
IS,Iceland,2025,0
IT,Italy,2021,6565
IT,Italy,2022,1530
IT,Italy,2023,1645
IT,Italy,2024,1735
IT,Italy,2025,915
LI,Liechtenstein,2021,0
LI,Liechtenstein,2022,0
LI,Liechtenstein,2023,0
LI,Liechtenstein,2024,0
LI,Liechtenstein,2025,0
LT,Lithuania,2021,15
LT,Lithuania,2022,0
LT,Lithuania,2023,0
LT,Lithuania,2024,0
LT,Lithuania,2025,0
LU,Luxembourg,2021,0
LU,Luxembourg,2022,0
LU,Luxembourg,2023,0
LU,Luxembourg,2024,0
LU,Luxembourg,2025,0
LV,Latvia,2021,0
LV,Latvia,2022,0
LV,Latvia,2023,0
LV,Latvia,2024,0
LV,Latvia,2025,0
MT,Malta,2021,0
MT,Malta,2022,0
MT,Malta,2023,0
MT,Malta,2024,0
MT,Malta,2025,0
NL,Netherlands,2021,470
NL,Netherlands,2022,1405
NL,Netherlands,2023,830
NL,Netherlands,2024,750
NL,Netherlands,2025,530
NO,Norway,2021,3660
NO,Norway,2022,3125
NO,Norway,2023,2250
NO,Norway,2024,1490
NO,Norway,2025,685
PL,Poland,2021,0
PL,Poland,2022,0
PL,Poland,2023,0
PL,Poland,2024,0
PL,Poland,2025,0
PT,Portugal,2021,15
PT,Portugal,2022,0
PT,Portugal,2023,0
PT,Portugal,2024,0
PT,Portugal,2025,260
RO,Romania,2021,75
RO,Romania,2022,90
RO,Romania,2023,155
RO,Romania,2024,0
RO,Romania,2025,140
SE,Sweden,2021,6415
SE,Sweden,2022,4995
SE,Sweden,2023,540
SE,Sweden,2024,905
SE,Sweden,2025,900
SI,Slovenia,2021,0
SI,Slovenia,2022,0
SI,Slovenia,2023,25
SI,Slovenia,2024,25
SI,Slovenia,2025,0
SK,Slovakia,2021,0
SK,Slovakia,2022,0
SK,Slovakia,2023,0
SK,Slovakia,2024,0
SK,Slovakia,2025,0
