geo,geo_label,c_resid,c_resid_label,time,value
AT,Austria,AD,Andorra,2021,0
AT,Austria,AD,Andorra,2022,0
AT,Austria,AD,Andorra,2023,0
AT,Austria,AD,Andorra,2024,0
AT,Austria,AD,Andorra,2025,0
BE,Belgium,AD,Andorra,2021,0
BE,Belgium,AD,Andorra,2022,0
BE,Belgium,AD,Andorra,2023,0
BE,Belgium,AD,Andorra,2024,0
BE,Belgium,AD,Andorra,2025,0
BG,Bulgaria,AD,Andorra,2021,0
BG,Bulgaria,AD,Andorra,2022,0
BG,Bulgaria,AD,Andorra,2023,0
BG,Bulgaria,AD,Andorra,2024,0
BG,Bulgaria,AD,Andorra,2025,0
CH,Switzerland,AD,Andorra,2021,0
CH,Switzerland,AD,Andorra,2022,0
CH,Switzerland,AD,Andorra,2023,0
CH,Switzerland,AD,Andorra,2024,0
CH,Switzerland,AD,Andorra,2025,0
CY,Cyprus,AD,Andorra,2021,0
CY,Cyprus,AD,Andorra,2022,0
CY,Cyprus,AD,Andorra,2023,0
CY,Cyprus,AD,Andorra,2024,0
CY,Cyprus,AD,Andorra,2025,0
CZ,Czechia,AD,Andorra,2021,0
CZ,Czechia,AD,Andorra,2022,0
CZ,Czechia,AD,Andorra,2023,0
CZ,Czechia,AD,Andorra,2024,0
CZ,Czechia,AD,Andorra,2025,0
DE,Germany,AD,Andorra,2021,0
DE,Germany,AD,Andorra,2022,0
DE,Germany,AD,Andorra,2023,0
DE,Germany,AD,Andorra,2024,0
DE,Germany,AD,Andorra,2025,0
DK,Denmark,AD,Andorra,2021,0
DK,Denmark,AD,Andorra,2022,0
DK,Denmark,AD,Andorra,2023,0
DK,Denmark,AD,Andorra,2024,0
DK,Denmark,AD,Andorra,2025,0
EE,Estonia,AD,Andorra,2021,0
EE,Estonia,AD,Andorra,2022,0
EE,Estonia,AD,Andorra,2023,0
EE,Estonia,AD,Andorra,2024,0
EE,Estonia,AD,Andorra,2025,0
EL,Greece,AD,Andorra,2021,0
