"country","continent","year","lifeExp","gdpPercap","pop"
"Afghanistan","Asia",1952,28.801,779.4453145,8425333
"Afghanistan","Asia",1957,30.332,820.8530296,9240934
"Afghanistan","Asia",1962,31.997,853.10071,10267083
"Afghanistan","Asia",1967,34.02,836.1971382,11537966
"Afghanistan","Asia",1972,36.088,739.9811058,13079460
"Afghanistan","Asia",1977,38.438,786.11336,14880372
"Afghanistan","Asia",1982,39.854,978.0114388,12881816
"Afghanistan","Asia",1987,40.822,852.3959448,13867957
"Afghanistan","Asia",1992,41.674,649.3413952,16317921
"Afghanistan","Asia",1997,41.763,635.341351,22227415
"Afghanistan","Asia",2002,42.129,726.7340548,25268405
"Afghanistan","Asia",2007,43.828,974.5803384,31889923
"Albania","Europe",1952,55.23,1601.056136,1282697
"Albania","Europe",1957,59.28,1942.284244,1476505
"Albania","Europe",1962,64.82,2312.888958,1728137
"Albania","Europe",1967,66.22,2760.196931,1984060
"Albania","Europe",1972,67.69,3313.422188,2263554
"Albania","Europe",1977,68.93,3533.00391,2509048
"Albania","Europe",1982,70.42,3630.880722,2780097
"Albania","Europe",1987,72,3738.932735,3075321
"Albania","Europe",1992,71.581,2497.437901,3326498
"Albania","Europe",1997,72.95,3193.054604,3428038
"Albania","Europe",2002,75.651,4604.211737,3508512
"Albania","Europe",2007,76.423,5937.029526,3600523
"Algeria","Africa",1952,43.077,2449.008185,9279525
"Algeria","Africa",1957,45.685,3013.976023,10270856
"Algeria","Africa",1962,48.303,2550.81688,11000948
"Algeria","Africa",1967,51.407,3246.991771,12760499
"Algeria","Africa",1972,54.518,4182.663766,14760787
"Algeria","Africa",1977,58.014,4910.416756,17152804
"Algeria","Africa",1982,61.368,5745.160213,20033753
"Algeria","Africa",1987,65.799,5681.358539,23254956
"Algeria","Africa",1992,67.744,5023.216647,26298373
"Algeria","Africa",1997,69.152,4797.295051,29072015
"Algeria","Africa",2002,70.994,5288.040382,31287142
"Algeria","Africa",2007,72.301,6223.367465,33333216
"Angola","Africa",1952,30.015,3520.610273,4232095
"Angola","Africa",1957,31.999,3827.940465,4561361
"Angola","Africa",1962,34,4269.276742,4826015
"Angola","Africa",1967,35.985,5522.776375,5247469
"Angola","Africa",1972,37.928,5473.288005,5894858
"Angola","Africa",1977,39.483,3008.647355,6162675
"Angola","Africa",1982,39.942,2756.953672,7016384
"Angola","Africa",1987,39.906,2430.208311,7874230
"Angola","Africa",1992,40.647,2627.845685,8735988
"Angola","Africa",1997,40.963,2277.140884,9875024
"Angola","Africa",2002,41.003,2773.287312,10866106
"Angola","Africa",2007,42.731,4797.231267,12420476
"Argentina","Americas",1952,62.485,5911.315053,17876956
"Argentina","Americas",1957,64.399,6856.856212,19610538
"Argentina","Americas",1962,65.142,7133.166023,21283783
"Argentina","Americas",1967,65.634,8052.953021,22934225
"Argentina","Americas",1972,67.065,9443.038526,24779799
"Argentina","Americas",1977,68.481,10079.02674,26983828
"Argentina","Americas",1982,69.942,8997.897412,29341374
"Argentina","Americas",1987,70.774,9139.671389,31620918
"Argentina","Americas",1992,71.868,9308.41871,33958947
"Argentina","Americas",1997,73.275,10967.28195,36203463
"Argentina","Americas",2002,74.34,8797.640716,38331121
"Argentina","Americas",2007,75.32,12779.37964,40301927
"Australia","Oceania",1952,69.12,10039.59564,8691212
"Australia","Oceania",1957,70.33,10949.64959,9712569
"Australia","Oceania",1962,70.93,12217.22686,10794968
"Australia","Oceania",1967,71.1,14526.12465,11872264
"Australia","Oceania",1972,71.93,16788.62948,13177000
"Australia","Oceania",1977,73.49,18334.19751,14074100
"Australia","Oceania",1982,74.74,19477.00928,15184200
"Australia","Oceania",1987,76.32,21888.88903,16257249
"Australia","Oceania",1992,77.56,23424.76683,17481977
"Australia","Oceania",1997,78.83,26997.93657,18565243
"Australia","Oceania",2002,80.37,30687.75473,19546792
"Australia","Oceania",2007,81.235,34435.36744,20434176
"Austria","Europe",1952,66.8,6137.076492,6927772
"Austria","Europe",1957,67.48,8842.59803,6965860
"Austria","Europe",1962,69.54,10750.72111,7129864
"Austria","Europe",1967,70.14,12834.6024,7376998
"Austria","Europe",1972,70.63,16661.6256,7544201
"Austria","Europe",1977,72.17,19749.4223,7568430
"Austria","Europe",1982,73.18,21597.08362,7574613
"Austria","Europe",1987,74.94,23687.82607,7578903
"Austria","Europe",1992,76.04,27042.01868,7914969
"Austria","Europe",1997,77.51,29095.92066,8069876
"Austria","Europe",2002,78.98,32417.60769,8148312
"Austria","Europe",2007,79.829,36126.4927,8199783
"Bahrain","Asia",1952,50.939,9867.084765,120447
